branch_name,local_exists,remote_exists,pr_number,pr_status,checks_status,last_commit,relative_age,commit_hash,subject,pr_url,checks_url
origin/ci/metrics-badges-059,Y,N,,,,2025-10-26 18:45:59 -0700,2 days ago,42c1c372,ci(059): fix PYTHONPATH for verify job imports,,
origin/ci/nightly-metrics-history-057,Y,N,,,,2025-10-26 18:35:07 -0700,2 days ago,c70a4132,ci(057): fix coverage XML parsing when file missing,,
origin/ci/nightly-mypy-and-targets-053,Y,N,,,,2025-10-26 18:02:41 -0700,2 days ago,d367032b,ci(053): add nightly full-repo mypy sweep (non-blocking) + Make targets,,
origin/ci/nightly-soft-thresholds-058,Y,N,,,,2025-10-26 18:38:07 -0700,2 days ago,2f1291f7,"ci(058): add soft warning thresholds to nightly metrics (non-blocking, repo vars...",,
origin/ci/pin-toolchain-070,Y,N,,,,2025-10-27 13:18:35 -0700,29 hours ago,925b8b32,ci: trigger workflow rerun after jsonschema fix,,
origin/ci/pr-diff-scoping-and-secrets-052,Y,N,,,,2025-10-26 17:59:12 -0700,2 days ago,3823a83a,ci(052): robust PR-diff scoping; skip enforcement on forks; guard secret-depende...,,
origin/ci/re-enable-quality-gates-051,Y,N,,,,2025-10-26 17:55:36 -0700,2 days ago,78890fad,ci(051): temporarily disable pre-commit & lint to unblock merge - scoping issues...,,
origin/ci/repo-wide-fmt-067,Y,N,,,,2025-10-26 19:17:42 -0700,2 days ago,39a3f018,ci(067): repo-wide ruff-format normalization (no code changes),,
origin/ci/soft-checks-081,Y,N,,,,2025-10-28 17:31:13 -0700,28 minutes ago,834071cf,fix(ci/081): correct syntax errors in soft_checks.py string literals,,
origin/ci/ssot-jsonschema-064,Y,N,,,,2025-10-26 20:04:11 -0700,2 days ago,6bb49b45,ci(064): add JSONSchema validation for SSOT JSON (PR-diff scoped + nightly sweep...,,
origin/ci/trigger-hardening-077,Y,N,,,,2025-10-27 13:08:10 -0700,29 hours ago,d566ccb5,ci(077): ensure PR checks run on pull_request + push; add workflow_dispatch,,
origin/codex/bootstrap-project-with-initial-scaffolding,Y,N,,,,2025-10-20 19:16:24 -0700,8 days ago,f5a816f6,docs: expand bootstrap readme,,
origin/cursor/explore-repository-and-branches-for-project-overview-1be6,Y,N,,,,2025-10-20 21:36:49 -0700,8 days ago,02c8efdb,docs(adr): add ADR-004 documenting Postgres checkpointer architecture [determini...,,
origin/docs/emitted-hints-029,Y,N,,,,2025-10-26 16:51:01 -0700,2 days ago,790987ab,fix: remove GROUP BY from migration 038 since cosine similarity doesn't need agg...,,
origin/docs/pr-and-next-templates-028,Y,N,,,,2025-10-26 16:35:15 -0700,2 days ago,c3106fbd,docs(templates-028): add PR & NEXT_STEPS templates + SSOT references primer,,
origin/docs/quality-dashboard-060,Y,N,,,,2025-10-26 18:42:53 -0700,2 days ago,68c4b835,"docs(060): add Quality Dashboard doc linking nightly artifacts, badges, and thre...",,
origin/docs/readme-full-032,Y,N,,,,2025-10-26 17:44:59 -0700,2 days ago,349329c2,ci: temporarily disable linting in build workflow to unblock docs PR-50,,
origin/docs/readme-nightly-badges-056,Y,N,,,,2025-10-26 18:28:48 -0700,2 days ago,1da8d503,ci(056): refresh share mirror in CI before checking sync,,
origin/docs/readme-refresh-030,Y,N,,,,2025-10-26 17:34:05 -0700,2 days ago,8c469e39,fix: restore LICENSE file after README rollback,,
origin/docs/rules-and-next-steps-027,Y,N,,,,2025-10-26 16:36:40 -0700,2 days ago,68137093,chore: apply pre-commit auto-fixes for formatting compliance,,
origin/feat/env-edge-thresholds-071,Y,N,,,,2025-10-27 13:18:41 -0700,29 hours ago,05a150ef,ci: trigger workflow rerun after node_modules cleanup,,
origin/feat/exporter-field-alignment-074,Y,N,,,,2025-10-27 12:59:01 -0700,29 hours ago,679000bc,"feat(074): exporter emits SSOT keys (edge_strength, rerank_score, cosine); blend...",,
origin/feat/gpt5-contract-v5.2,Y,N,,,,2025-10-28 17:44:09 -0700,15 minutes ago,03d83d7c,fix(ci): address linting issues blocking GPT-5 Contract v5.2 merge,,
origin/feature/docs-index-005,Y,N,,,,2025-10-25 10:55:51 -0700,3 days ago,d87631a2,docs: add repository index for quick navigation,,
origin/feature/edge-rerank-blend-062,Y,N,,,,2025-10-26 19:36:07 -0700,2 days ago,e84fa923,fix(062): skip frontend build in CI when no package-lock.json (backend-only PR),,
origin/feature/graph-centrality-061,Y,N,,,,2025-10-26 19:08:16 -0700,2 days ago,909d9698,feat(061): automatic graph centrality computation and persistence,,
origin/feature/integrate-core-branches-003,Y,N,,,,2025-10-25 11:00:27 -0700,3 days ago,a720d356,docs: add batch-semantics integration evidence (PR #14),,
origin/feature/ops-fast-soft-integrity-017a,Y,N,,,,2025-10-26 15:01:51 -0700,2 days ago,ca790d36,ops: cache soft integrity by manifest; fast ops.verify on re-runs (017a),,
origin/feature/ops-stabilize-package-guards-017,Y,N,,,,2025-10-26 14:35:25 -0700,2 days ago,c0296780,ops: PR-017 instructions and acceptance checks (stabilize eval pipeline),,
origin/feature/ops-stabilize-package-guards-017-clean,Y,N,,,,2025-10-26 14:41:43 -0700,2 days ago,60d1c5cc,ops/eval: stabilize pipeline + add guards (surgical 017),,
origin/feature/ops-verifier-001,Y,N,,,,2025-10-25 11:42:46 -0700,3 days ago,c541eeb0,chore(ops): drop unintended src edits from PR-20 (docs/ops-only; STRICT governan...,,
origin/feature/phase8-anomalies-runlog-010,Y,N,,,,2025-10-25 12:23:13 -0700,3 days ago,c6ad4c16,docs/eval: anomalies aggregator + append-only run log (local-only),,
origin/feature/phase8-badges-release-notes-015,Y,N,,,,2025-10-25 21:22:09 -0700,3 days ago,99b7500e,ops/eval: badges + release notes + one-shot package (local-only),,
origin/feature/phase8-catalog-repro-008,Y,N,,,,2025-10-25 12:09:49 -0700,3 days ago,dd8568e2,docs/eval: exports catalog + one-shot local reproducer (local-only),,
origin/feature/phase8-closeout-release-018,Y,N,,,,2025-10-25 21:36:55 -0700,3 days ago,d3db2589,"ops/eval: Phase-8 closeout — README/CHANGELOG, eval.open, integrity hook (local-...",,
origin/feature/phase8-delta-schema-004,Y,N,,,,2025-10-25 11:51:56 -0700,3 days ago,1d032451,docs/eval: add json schema validation + delta report (local-only),,
origin/feature/phase8-eval-history-003,Y,N,,,,2025-10-25 11:46:39 -0700,3 days ago,95a4ad39,docs/eval: temporal export history + trend report (local-only),,
origin/feature/phase8-eval-report-001,Y,N,,,,2025-10-25 11:22:30 -0700,3 days ago,7c7f571f,fix(eval): correct RULES_INDEX.md path in manifest,,
origin/feature/phase8-eval-tasks-002,Y,N,,,,2025-10-25 11:32:42 -0700,3 days ago,54bb5a67,docs/eval: add export hygiene checks (manifest v0.2; local-only),,
origin/feature/phase8-id-integrity-007,Y,N,,,,2025-10-25 12:06:44 -0700,3 days ago,4fc9ff66,docs/eval: ID-type audit in report + ID stability run (manifest v0.7; local-only...,,
origin/feature/phase8-integrity-006,Y,N,,,,2025-10-25 12:01:41 -0700,3 days ago,dad71c16,docs/eval: add referential integrity checks (manifest v0.6; local-only),,
origin/feature/phase8-kickoff-001,Y,N,,,,2025-10-25 11:15:03 -0700,3 days ago,0ea2870b,docs/eval: add Phase-8 plan and local eval.smoke (no CI changes),,
origin/feature/phase8-manifest-viewer-bundle-verify-017,Y,N,,,,2025-10-25 21:34:33 -0700,3 days ago,bf677f1f,ops/eval: manifest viewer + download-all bundle + integrity verifier (local-only...,,
origin/feature/phase8-package-strict-badges-embed-016,Y,N,,,,2025-10-25 21:26:47 -0700,3 days ago,465386c8,ops/eval: embed badges in HTML + package.strict + release manifest (local-only),,
origin/feature/phase8-profiles-whitelist-repair-012,Y,N,,,,2025-10-25 12:44:32 -0700,3 days ago,82ae7669,fix: use subprocess in profile runner for proper execution,,
origin/feature/phase8-provenance-checksums-009,Y,N,,,,2025-10-25 12:15:35 -0700,3 days ago,5c0b8280,docs/eval: add provenance + checksums; enrich eval index (local-only),,
origin/feature/phase8-remediation-workflows-015,Y,N,,,,2025-10-25 21:15:00 -0700,3 days ago,fc0f4f1d,ops/eval: automated remediation workflows (local-only),,
origin/feature/phase8-repair-apply-policy-delta-013,Y,N,,,,2025-10-25 20:59:56 -0700,3 days ago,ca0d8ab2,ops/eval: apply repair plan → repaired export + strict/dev policy delta (local-o...,,
origin/feature/phase8-sanitize-diagnostics-011,Y,N,,,,2025-10-25 12:29:10 -0700,3 days ago,6fbecec0,fix: pre-commit formatting fixes,,
origin/feature/phase8-snapshot-html-bundle-gate-014,Y,N,,,,2025-10-25 21:09:41 -0700,3 days ago,7c3e45ad,ops/eval: snapshot + HTML dashboard + bundle + strict preflight gate (local-only...,,
origin/feature/phase8-thresholds-index-005,Y,N,,,,2025-10-25 11:57:56 -0700,3 days ago,aa631e24,docs/eval: thresholds substitution + shape smoke + eval index (local-only),,
origin/feature/phase9-advanced-calibration-quality-trend-025,Y,N,,,,2025-10-26 17:07:54 -0700,2 days ago,43cd6328,docs: add AGENTS.md documentation for calibrate_advanced.py and quality_trend.py...,,
origin/feature/phase9-centrality-rerank-blend-019,Y,N,,,,2025-10-25 21:41:36 -0700,3 days ago,c1db9804,ops/eval: centrality export + rerank blend + edge classes (local-only),,
origin/feature/phase9-edge-audit-anomalies-badge-026,Y,N,,,,2025-10-25 22:22:07 -0700,3 days ago,030f9234,ops/eval: edge audit pack + anomaly detection + badge + governance (local-only),,
origin/feature/phase9-edge-audit-anomaly-badges-026,Y,N,,,,2025-10-26 17:24:02 -0700,2 days ago,4c9543ad,ci(026): temporarily disable mypy pre-commit hook to unblock merge,,
origin/feature/phase9-graph-tables-delta-badge-021,Y,N,,,,2025-10-25 21:41:36 -0700,3 days ago,c1db9804,ops/eval: centrality export + rerank blend + edge classes (local-only),,
origin/feature/phase9-quality-gate-and-run-summary-023,Y,N,,,,2025-10-25 22:01:48 -0700,3 days ago,5e2ff5e6,ops/eval: quality gate + run summary (local-only),,
origin/feature/phase9-rerank-provider-and-schema-020,Y,N,,,,2025-10-25 21:41:36 -0700,3 days ago,c1db9804,ops/eval: centrality export + rerank blend + edge classes (local-only),,
origin/feature/phase9-snapshot-rotation-provenance-gate-022,Y,N,,,,2025-10-25 21:55:47 -0700,3 days ago,647d8387,ops/eval: snapshot rotation + provenance + required-artifacts gate (local-only),,
origin/feature/phase9-thresholds-quality-badge-calibration-024,Y,N,,,,2025-10-26 16:21:46 -0700,2 days ago,3c6ad76e,fix(migration-014): drop view before recreate to avoid type conflict,,
origin/feature/policy-guards-002,Y,N,,,,2025-10-25 10:20:48 -0700,3 days ago,d8af82a2,infra(policy): finalize CODEOWNERS; enforce required checks; lock workflow step ...,,
origin/feature/post-integration-hardening-007,Y,N,,,,2025-10-25 11:06:30 -0700,3 days ago,6dcc1aa5,Merge branch 'main' of github.com:iog-creator/Gemantria,,
origin/feature/pr-000-agents-and-rules,Y,N,,,,2025-10-20 20:01:09 -0700,8 days ago,168ccd26,"chore: bootstrap agents, rules, CI, determinism helpers [no-mocks, deterministic...",,
origin/feature/pr-001-checkpointer,Y,N,,,,2025-10-20 20:52:34 -0700,8 days ago,e5e4e1df,"fix(rules): renumber infrastructure and authoring rules [deterministic, ci:green...",,
origin/feature/rule-037-completeness-gate,Y,N,,,,2025-10-24 21:07:16 -0700,4 days ago,ec81e7aa,governance(rule-037): data persistence completeness gate; psycopg3 verifier; ide...,,
origin/feature/rule-038-exports-smoke,Y,N,,,,2025-10-25 09:33:34 -0700,3 days ago,647432ad,governance(instruction-loop): establish GPT-5↔Cursor loop via NEXT_STEPS.md; ren...,,
origin/feature/ui-implementation,Y,N,,,,2025-10-23 05:53:21 +0000,6 days ago,282f6793,feat(ui): implement Hebrew gematria calculator UI,,
origin/fix/blend-validator-field-aliases-073,Y,N,,,,2025-10-27 12:56:39 -0700,29 hours ago,caf9f74d,fix(073): blend validator accepts legacy field names; adds alias stats + docs,,
origin/fix/ci-linting-wave2,Y,N,,,,2025-10-28 17:47:50 -0700,11 minutes ago,578ccf9d,fix(ci): linting fixes Wave 2 - reduce errors from 255 to 188,,
origin/fix/reclassify-ssot-keys-076,Y,N,,,,2025-10-27 13:06:58 -0700,29 hours ago,030f0666,fix(076): reclassify prefers SSOT edge_strength; legacy strength/cosine fallback,,
origin/integrate/feature/infra-guards-001,Y,N,,,,2025-10-25 10:40:16 -0700,3 days ago,8dafe480,"dedupe(infra-guards-001): governance files reset to main versions, kept script i...",,
origin/integrate/feature/ops-pr-template,Y,N,,,,2025-10-25 10:36:28 -0700,3 days ago,daaea9e5,docs: add PR link for ops-pr-template integration,,
origin/integrate/feature/pr-002-bible-ro,Y,N,,,,2025-10-25 11:03:13 -0700,3 days ago,e2e0edc1,"feat(bible-db): add RO validation with Strong's, freq, verse context [determinis...",,
origin/integrate/feature/pr-003-batch-semantics,Y,N,,,,2025-10-25 10:59:12 -0700,3 days ago,36c9d62f,feat(batch-semantics): add batch processing with size enforcement [deterministic...,,
origin/integrate/feature/pr-004-postgres-checkpointer,Y,N,,,,2025-10-25 10:43:49 -0700,3 days ago,c8672c47,"docs(sync): update documentation and sync to grok_share [deterministic, ci:green...",,
origin/main,Y,N,,,,2025-10-26 20:14:42 -0700,2 days ago,7b9c4924,ci(069): render coverage badge as exact percentage (two decimals) (#68),,
origin/rules/042-048-close-gaps-068,Y,N,,,,2025-10-26 19:50:43 -0700,2 days ago,75f1ec71,rules(068): add 042–048 in .cursor/rules; regenerate compiled/indexed views,,
origin/rules/gpt5-contract-v52,Y,N,,,,2025-10-25 09:39:07 -0700,3 days ago,37dd2cbc,Merge remote-tracking branch 'origin/main' into main,,
origin/verify/rerank-blend-ssot-072,Y,N,,,,2025-10-27 12:52:33 -0700,29 hours ago,095c3f3d,feat+docs: hermetic SSOT blend validator with AGENTS.md docs,,
rules/042-048-close-gaps-068,Y,N,,,,2025-10-26 19:53:48 -0700,2 days ago,450942b9,rules(068): add 042–048 in .cursor/rules; regenerate compiled/indexed views (#65...,,
verify/rerank-blend-ssot-072,Y,N,,,,2025-10-27 12:52:33 -0700,29 hours ago,095c3f3d,feat+docs: hermetic SSOT blend validator with AGENTS.md docs,,
